ID,Ingredient
1,White Onions
1,Garlic Cloves
1,Vegetarian Sausages
1,Vegetable Stock Cubes
1,Fresh Spinach
1,Nutmeg
1,Marscapone
1,Parmesan
1,Peas
1,Gnocchi
1,Cheddar Cheese
2,Bread Flour
2,Yeast
2,Black Olives
2,Garlic Cloves
2,Fresh Basil
2,Parmesan
2,Mozzarella Balls
3,Ginger
3,Soy Sauce
3,Sweet Chilli Sauce
3,Honey
3,Tofu
3,Spring Onions
3,Red Chillies
3,Fresh Coriander
3,Noodles
4,Unsalted Butter
4,Caster Sugar
4,Eggs
4,Self-Raising Flour
4,Lemons
4,Icing Sugar
5,Paneer
5,Cardamon Pods
5,Cinnamon Stick
5,White Onions
5,Garlic Cloves
5,Ginger
5,Green Chillies
5,Turmeric
5,Red Lentils
5,Vegetable Stock Cubes
5,Fresh Coriander
6,Self-Raising Flour
6,Baking Powder
6,Unsalted Butter
6,Caster Sugar
6,Milk
6,Lemons
6,Eggs
7,Chipolatas
7,Plain Flour
7,Eggs
7,Milk
8,Bread Flour
8,Yeast
8,Caster Sugar
8,Salt
8,Semolina
9,Rigatoni
9,Red Onions
9,Red Peppers
9,Garlic Cloves
9,Oregano
9,Marjoram
9,Red Chilli Flakes
9,Smoked Paprika
9,Tomato Paste
9,Vegetable Stock Cubes
9,Double Cream
9,Fresh Basil
9,Fresh Parsley
9,Parmesan
10,White Onions
10,Garlic Cloves
10,Turmeric
10,Saffron
10,Smoked Paprika
10,Paella Rice
10,Vegetable Stock Cubes
10,Lemons
10,Fresh Parsley
11,White Onions
11,Sweet Potatoes
11,Garlic Cloves
11,Ginger
11,Vegetable Stock Cubes
11,Coconut Milk
11,Red Chilli Flakes
11,Salt
11,Turmeric
11,Curry Powder
11,Lime
11,Red Chillies
12,Mushrooms
12,Red Peppers
12,Orange Peppers
12,White Onions
12,Black Beans
12,Cheddar Cheese
12,Tortillas
12,Sour Cream
12,Basmati Rice
12,Fajita Mix
